62,48,45
61,47,44
61,50,48
62,51,49
70,52,40
69,51,39
68,48,37
67,47,36
70,45,38
70,45,38
74,46,42
69,49,42
68,48,41
66,46,39
65,45,38
67,52,47
64,49,44
62,47,42
62,47,42
64,49,44
66,51,46
67,52,49
69,49,42
68,48,41
66,46,39
65,45,38
66,51,46
64,49,44
62,47,42
62,47,42
64,49,44
66,51,46
67,52,49
68,48,41
68,48,41
67,47,40
66,46,39
66,51,44
64,49,42
63,48,41
63,48,41
65,50,45
67,52,47
67,52,49
68,48,41
68,48,41
68,48,41
68,48,41
66,51,44
65,50,43
64,49,42
64,49,42
66,51,46
68,53,48
67,52,49
68,48,41
69,49,42
70,50,43
70,50,43
66,51,44
65,50,43
64,49,42
66,51,44
68,53,48
68,53,48
67,52,47
69,49,42
71,51,44
72,52,45
73,53,46
66,51,44
65,50,43
65,50,43
67,52,45
69,54,49
69,54,49
68,53,48
70,50,43
72,52,45
74,54,47
75,55,48
65,51,42
65,51,42
66,52,43
68,54,45
70,55,48
70,55,48
68,53,48
71,51,44
73,53,46
75,55,48
77,57,50
65,51,42
65,51,42
66,52,43
68,54,45
70,55,48
70,55,48
68,53,48
71,51,44
71,51,44
71,51,44
71,51,44
69,55,44
69,55,44
70,56,47
71,57,48
71,57,48
72,58,49
73,58,51
73,53,46
73,53,46
73,53,46
73,53,46
70,56,45
71,57,46
71,57,48
71,57,48
71,57,48
72,58,49
72,57,50
75,55,48
75,55,48
75,55,48
75,55,48
72,58,47
72,58,47
72,58,47
72,58,47
71,57,46
71,57,46
71,57,48
74,54,47
74,54,47
74,54,47
74,54,47
74,60,49
74,60,49
73,59,48
72,58,47
72,58,47
71,57,46
70,56,47
67,54,45
67,42,35
66,41,34
65,40,33
66,41,34
66,41,34
65,40,33
64,39,32
64,39,32
65,40,33
62,37,30
63,38,31
64,39,32
61,36,29
62,37,30
63,38,31
61,36,29
61,36,29
61,36,29
61,36,29
61,36,29
62,37,30
62,37,30
63,38,31
63,38,31
63,38,31
63,38,31
63,38,31
64,39,32
63,38,31
62,37,30
64,39,32
63,38,31
60,35,28
64,39,32
62,37,30
58,33,26
64,39,32
61,36,29
56,31,24
59,35,23
60,36,24
59,35,25
58,34,22
60,36,24
59,35,25
58,34,22
60,36,24
60,36,26
56,32,20
59,35,23
60,36,26
54,30,18
58,34,22
59,35,25
52,28,16
56,32,20
58,34,24
50,26,14
54,30,18
57,33,23
48,24,12
53,29,17
56,32,22
54,30,18
55,31,19
56,32,22
55,31,19
55,31,19
56,32,22
56,32,20
56,32,20
57,33,23
57,33,21
57,33,21
58,34,24
57,33,21
57,33,21
57,33,23
56,32,22
55,31,21
55,31,19
55,31,21
64,34,26
65,32,23
64,34,26
66,33,24
64,35,27
65,35,25
64,35,27
66,37,29
67,38,32
69,40,34
69,40,34
39,39,31
41,33,31
40,33,40
38,31,38
35,32,25
35,32,25
35,32,25
34,31,24
34,31,24
33,30,23
33,30,23
33,30,23
34,31,24
33,30,23
32,29,22
41,33,31
40,33,40
39,32,39
36,33,26
36,33,26
35,32,25
35,32,25
34,31,24
33,30,23
33,30,23
33,30,23
35,32,25
34,31,24
33,30,23
40,37,22
38,35,18
36,33,16
34,32,33
33,31,32
33,31,32
33,31,32
32,30,31
32,30,31
31,29,30
31,29,30
32,30,31
32,30,31
32,30,31
40,37,22
39,36,19
39,36,19
34,32,33
33,31,32
33,31,32
33,31,32
32,30,31
32,30,31
31,29,30
31,29,30
32,30,31
32,30,31
32,30,31
40,37,22
40,37,22
41,38,23
36,32,29
36,32,29
36,32,29
35,31,28
35,31,28
34,30,27
34,30,27
34,30,27
35,31,28
35,31,28
34,30,27
38,35,20
39,36,21
40,37,22
36,32,29
36,32,29
36,32,29
36,32,29
35,31,28
35,31,28
34,30,27
